model,rep,condition,mode,quiet_s,loaded_s,latency_ratio,quiet_effective_tps,loaded_effective_tps,throughput_ratio,same_prompts,exact_work_match,quiet_tokens,loaded_tokens,cache_match,quiet_cached,loaded_cached,quiet_reasoning,loaded_reasoning,cached_delta,reasoning_delta,campaign
9b,1,gpu,one_shot,6.633179124910384,32.88811099994928,4.958121947354106,39.64916294998338,7.996810762418238,0.20168927077996712,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,gpu,agentic,11.404573749983683,49.34817962499801,4.327051646719249,23.060923254617585,5.329477237024031,0.23110424410075983,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,video,one_shot,6.633179124910384,6.515915791969746,0.9823216996356596,39.64916294998338,40.36270700798847,1.0179964469591758,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,video,agentic,11.404573749983683,11.767345166997984,1.03180929204082,23.060923254617585,22.349986022131365,0.9691713456292836,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,browser,one_shot,8.563786499900743,9.083410208928399,1.0606768640289757,30.71071423873636,28.95388339298914,0.9427942042607633,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,browser,agentic,12.979033333947882,13.014317458029836,1.0027185479206426,20.263450538500333,20.20851272824369,0.9972888225451898,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,combined,one_shot,8.563786499900743,8.26018241699785,0.9645479154686525,30.71071423873636,31.83949054911876,1.0367551305257054,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,combined,agentic,12.979033333947882,12.745431834016927,0.9820016257050554,20.263450538500333,20.634844187708573,1.0183282530535753,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,fault,one_shot,8.563786499900743,6.8416344170691445,0.7989029639107001,30.71071423873636,38.44110690039842,1.2517164726801266,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,fault,agentic,12.979033333947882,11.120750750065781,0.8568242691062679,20.263450538500333,23.649482477470716,1.1671004616186647,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,game,one_shot,8.563786499900743,8.243065083050169,0.96254911109072,30.71071423873636,31.905607604723958,1.038908029188082,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,game,agentic,12.979033333947882,13.880059417104349,1.0694216633838014,20.263450538500333,18.94804568890433,0.9350848540283527,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,gpu,one_shot,8.563786499900743,32.753192125004716,3.8246156796861217,30.71071423873636,8.029751695536826,0.261464179345222,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,gpu,agentic,12.979033333947882,46.49923520802986,3.5826424057642825,20.263450538500333,5.6560070036288055,0.2791235872134637,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,video,one_shot,8.563786499900743,7.158480125013739,0.8359012832812573,30.71071423873636,36.73964241110402,1.1963135121345758,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,2,video,agentic,12.979033333947882,11.281683959066868,0.8692237448499776,20.263450538500333,23.31212263649985,1.1504517748449148,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
