stage,window,precision,operator,winner,npu_path,gpu_us,npu_us,speedup
prefill,1024,fp16,kv_cache_and_gqa_layout,GPU,npuw,114.37475998914051,365.5590285625975,3.196151219004141
prefill,1024,fp16,scaled_dot_product_attention,GPU,plain,737.0817865966833,850.747283874451,1.1542101559754905
prefill,1024,fp16,attention_output_and_residual,GPU,npuw,778.1393927466312,1436.4925206896437,1.8460606596707512
prefill,1024,fp16,ffn_rmsnorm,GPU,npuw,132.2302825707954,1206.5739821051145,9.12479319144706
prefill,1024,fp16,ffn_gate_projection,NPU,plain,810.3989404358759,362.97647858360557,2.232648637724921
prefill,1024,fp16,ffn_up_projection,NPU,plain,651.0563260920306,370.75454598182563,1.7560305953037334
prefill,1024,fp16,swiglu_activation,GPU,plain,0.0,272.6614101933949,
prefill,1024,fp16,ffn_down_and_residual,NPU,plain,714.5978594193309,674.8399428360503,1.0589145870888967
prefill,1024,fp16,final_rmsnorm,NPU,plain,130.20370929694135,20.74151306192032,6.277445088419536
prefill,1024,fp16,lm_head,NPU,plain,3369.6563904492937,1955.7706398314326,1.722930246432027
prefill,1024,int8,token_embedding,GPU,plain,82.38783122651012,161.0969889503523,1.9553493101116586
prefill,1024,int8,pre_attention_rmsnorm,GPU,plain,7.869939993364174,154.82537342921245,19.6730055832394
prefill,1024,int8,qkv_projection,NPU,plain,290.7805807994475,75.68353015125551,3.8420589026214143
prefill,1024,int8,rotary_embedding,GPU,plain,156.77975664965237,605.0904021487555,3.8594931838102022
prefill,1024,int8,kv_cache_and_gqa_layout,NPU,plain,178.3454228903278,174.8856042670729,1.0197833242922116
prefill,1024,int8,scaled_dot_product_attention,NPU,plain,2747.876488554779,1909.2636008552452,1.439233685345429
prefill,1024,int8,attention_output_and_residual,NPU,plain,162.8371252476906,97.37475997653746,1.6722724172765753
prefill,1024,int8,ffn_rmsnorm,GPU,npuw,170.5912740690092,386.58170472983954,2.266128246239933
